Country Name,Country Code,Series Name,Series Code,2006 [YR2006],2007 [YR2007],2008 [YR2008],2009 [YR2009],2010 [YR2010],2011 [YR2011],2012 [YR2012],2013 [YR2013],2014 [YR2014],2015 [YR2015],2016 [YR2016],2017 [YR2017],2018 [YR2018],2019 [YR2019],2020 [YR2020],2021 [YR2021],2022 [YR2022],2023 [YR2023],2024 [YR2024],2025 [YR2025]
Spain,ESP,"Employment in services, male (% of male employment) (modeled ILO estimate)",SL.SRV.EMPL.MA.ZS,52.7676331005268,53.1412875961507,55.3985140556074,58.7200550218232,60.7385358808032,63.3780355488925,63.8579626665749,64.7419459433788,65.8084518622272,64.6429604512108,65.3047032890853,64.7167076615433,64.9763010711916,64.5787100958043,64.6281529988689,64.4000729156694,64.6877594414494,65.7353780150868,65.8601806703015,66.2640092599116
Spain,ESP,"Employment in services, female (% of female employment) (modeled ILO estimate)",SL.SRV.EMPL.FE.ZS,85.0347433092606,85.6684221454241,86.4127274504665,87.9701427613888,87.8781970161123,88.8203355536163,88.7389933166146,88.6075560353038,89.542319547713,89.1994384498316,89.3155475565983,88.936612474007,88.6235797150854,88.5260758260648,88.184833893736,88.1725877886676,88.4750378699514,89.0490552560885,88.6358531098191,88.9460051176079
Spain,ESP,"Employment in industry, female (% of female employment) (modeled ILO estimate)",SL.IND.EMPL.FE.ZS,11.6488255078572,11.5297211841342,11.1548542577589,9.70178713665508,9.80491842283469,8.90811578697214,8.90208317751316,9.07374436472157,8.23298023102473,8.74066694610333,8.45392178043457,8.79599506773322,9.21361894781498,9.32936881609247,9.87852504564057,9.65390957683021,9.50199223685887,9.20135777987065,9.34456706625587,9.10752378963984
Spain,ESP,"Employment in industry, male (% of male employment) (modeled ILO estimate)",SL.IND.EMPL.MA.ZS,41.229397091358,41.4061427003888,39.6135635458648,35.9105407643354,33.7503959798923,31.5106565540281,30.3357293157245,29.2558278422216,28.2376783971237,29.7882475556641,28.9165687362269,29.2904528191423,29.3831122362681,29.6778642116472,29.8401115526947,29.9269299728422,29.6311341812534,29.2735138681002,29.4065287831921,29.1286152489086
Spain,ESP,"Employment in agriculture, male (% of male employment) (modeled ILO estimate)",SL.AGR.EMPL.MA.ZS,6.00296980811526,5.45256970346052,4.9879140426391,5.36940421384141,5.51107757582266,5.11130789707943,5.80631825562899,6.00222621439953,5.95385937527695,5.56881206692041,5.77873774412229,5.99283951931448,5.64058669254032,5.74343479042496,5.5317354484364,5.67299711148839,5.6811063772972,4.9911169385633,4.7332905465064,4.60738414594989
Spain,ESP,"Employment in agriculture, female (% of female employment) (modeled ILO estimate)",SL.AGR.EMPL.FE.ZS,3.31643118288224,2.80186834820185,2.43242976555397,2.32805823651828,2.31689652330348,2.27154865941154,2.35891112281173,2.3186995999746,2.22470022126227,2.05988236238887,2.23053066296715,2.26739245825973,2.1628013370996,2.14454436361857,1.9366410606234,2.17348075870515,2.02296989318971,1.74958696404085,2.01957982392503,1.94647109275231
Spain,ESP,"Agriculture, forestry, and fishing, value added (current US$)",NV.AGR.TOTL.CD,30293832815.2941,36839820172.157,38508790438.2812,33667258099.2187,34520336283.3334,35144086225.681,31914150609.375,35545751201.5687,34878459591.3724,32847129126.9531,34993635009.3386,37054672269.4118,38672717332.549,35365319239.2156,35916356645.9145,40450901344.9606,34332544749.0274,42207320872.5498,47507843534.375,..
Spain,ESP,"Industry (including construction), value added (current US$)",NV.IND.TOTL.CD,339418496371.764,387895992785.491,428448717112.5,370886593800.781,328236840933.334,325586685389.106,276837269494.922,272818023261.569,274249059409.803,240304958928.906,246039103212.841,263091449188.236,282585880832.941,280389183098.039,259496676188.328,296874914271.313,307496520626.46,323208493043.143,335707879046.094,..
Thailand,THA,"Employment in services, male (% of male employment) (modeled ILO estimate)",SL.SRV.EMPL.MA.ZS,35.6044512480197,36.1078364963295,36.4250828297191,36.8460800912565,37.2294367001855,35.71271617875,34.5457834592436,35.1603123684128,38.6458289681384,39.4961603033292,40.1370623531103,40.6280479182248,40.1344207140459,40.4211582661617,40.5190978067896,40.1819186798493,41.7650296520146,42.0485901946918,42.8193270593375,43.2133874003535
Thailand,THA,"Employment in services, female (% of female employment) (modeled ILO estimate)",SL.SRV.EMPL.FE.ZS,44.4524357612339,44.3979779061185,44.9059195204635,45.2552483523841,45.7661323633759,44.0570196783678,42.1642708838038,44.6144452740571,48.1821268559169,49.3278677386681,50.9853622091608,51.5638894684339,50.7869732895269,51.8901084025686,52.5832624496282,52.5608811664325,53.9446481684478,54.6768112203842,55.7702997682666,56.2902708599671
