Country Name,Country Code,Series Name,Series Code,2006 [YR2006],2007 [YR2007],2008 [YR2008],2009 [YR2009],2010 [YR2010],2011 [YR2011],2012 [YR2012],2013 [YR2013],2014 [YR2014],2015 [YR2015],2016 [YR2016],2017 [YR2017],2018 [YR2018],2019 [YR2019],2020 [YR2020],2021 [YR2021],2022 [YR2022],2023 [YR2023],2024 [YR2024],2025 [YR2025]
Morocco,MAR,Poverty headcount ratio at national poverty lines (% of population),SI.POV.NAHC,8.9,..,..,..,..,..,..,4.8,..,..,..,..,..,..,..,..,3.9,..,..,..
Morocco,MAR,Gini index,SI.POV.GINI,40.7,..,..,..,..,..,..,39.5,..,..,..,..,..,..,..,..,..,..,..,..
Dominican Republic,DOM,"International tourism, receipts (% of total exports)",ST.INT.RCPT.XP.ZS,45.7470539457856,42.8447930503721,44.9416384388013,50.7259994237106,33.9187482172691,30.9567620538201,31.0901794302013,31.920334926719,33.2102450361596,36.0112108151393,37.0272414705104,37.8276483039692,37.7075260451732,..,..,..,..,..,..,..
Dominican Republic,DOM,Urban population (% of total population),SP.URB.TOTL.IN.ZS,69.333853706035,71.0193434994977,72.4865154265802,73.5894974865426,74.1642773174177,74.2440389501301,74.2398679969568,74.2251359951216,74.1931533822153,74.1372305958285,74.0506780735522,73.926806252977,73.7589255716938,73.5403464672933,73.2643793773663,72.9243347395035,72.4203155643711,72.3577991823338,72.4121874752151,..
Dominican Republic,DOM,GDP per capita (current US$),NY.GDP.PCAP.CD,4055.14270347371,4649.64558875814,5023.58513403515,4973.95186999952,5478.62470398954,5826.51014109195,6013.81965002603,6136.59429329301,6496.45166971142,6800.95309395474,7160.44200982307,7412.71571571512,7882.98221584944,8183.01623600375,7135.22273255899,8527.0754858205,10104.2449349081,10630.431743829,10875.6618443092,..
Dominican Republic,DOM,Poverty headcount ratio at national poverty lines (% of population),SI.POV.NAHC,..,..,..,..,..,..,..,..,..,..,34.8,31.2,28.3,25.8,30.4,30.7,27.7,23,19,17.3
Dominican Republic,DOM,Gini index,SI.POV.GINI,52,48.9,48.1,48.9,47.3,47.7,46.1,47.7,44.3,45.2,45.7,42.2,43.7,41.9,39.6,38.5,37,38.4,39,..
Mexico,MEX,"International tourism, receipts (% of total exports)",ST.INT.RCPT.XP.ZS,4.92316895112629,4.75987635604904,4.65662537458899,5.00043366886945,3.93420158817669,3.33463295822329,3.36229969231267,3.50647422938551,3.87169417221237,4.5260057464754,5.04846822205906,5.01662926638973,4.84466653434979,5.11718244937811,2.5678508801707,..,..,..,..,..
Mexico,MEX,Urban population (% of total population),SP.URB.TOTL.IN.ZS,76.4982455683657,76.5047326234761,76.5090428271033,76.5143930040295,76.5244441414713,76.5667802279537,76.6585199140734,76.7955768077952,76.9741367091766,77.1903854182753,77.4405087351486,77.7206924598541,78.0271223924494,78.355984332992,78.677960602824,78.9324007418057,79.199683215791,79.4734935748046,79.7538805976118,..
Mexico,MEX,GDP per capita (current US$),NY.GDP.PCAP.CD,9512.63575346699,10134.3327138119,10523.7685403244,8423.56933214711,9728.80078377082,10664.4944032313,10744.1335242686,11216.8008505428,11391.3773497683,10021.2386118827,9097.92397674769,9649.27816772402,10084.7937562021,10369.5553585271,8841.27075039868,10314.0506722115,11405.7940473759,13860.9597809326,14185.7812248529,..
Mexico,MEX,Poverty headcount ratio at national poverty lines (% of population),SI.POV.NAHC,..,..,..,..,..,..,..,..,..,..,43.2,..,41.9,..,43.9,..,36.3,..,29.6,..
Mexico,MEX,Gini index,SI.POV.GINI,49.7,..,50.8,..,47.7,..,49.6,..,48.9,..,46.9,..,46,..,44.6,..,43.5,..,42.6,..
